instance,config,seed,target,target_hit,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_200_3,DEFAULT,0,49965.3,False,355,600.739660024643,47519.0,323.968,190
scqbf_200_3,DEFAULT,1,49965.3,False,355,600.2078521251678,48035.0,291.514,171
scqbf_200_3,DEFAULT,2,49965.3,False,356,601.3154356479645,47844.0,202.305,118
scqbf_200_3,DEFAULT,3,49965.3,False,353,601.4323687553406,46997.0,370.695,216
scqbf_200_3,DEFAULT,4,49965.3,False,357,601.4935784339905,48553.0,425.314,251
scqbf_200_3,DEFAULT,5,49965.3,False,356,601.2349054813385,47803.0,414.334,244
scqbf_200_3,DEFAULT,6,49965.3,False,356,600.921368598938,48006.0,489.85,289
scqbf_200_3,DEFAULT,7,49965.3,False,355,600.4919385910034,48343.0,262.973,154
scqbf_200_3,DEFAULT,8,49965.3,False,356,601.5442838668823,48222.0,313.302,184
scqbf_200_3,DEFAULT,9,49965.3,False,355,600.2303380966187,46689.0,281.608,165
scqbf_200_3,DEFAULT,10,49965.3,False,351,601.0181095600128,49086.0,554.815,323
scqbf_200_3,DEFAULT,11,49965.3,False,356,601.5750977993011,49398.0,581.307,343
scqbf_200_3,DEFAULT,12,49965.3,False,357,600.6032891273499,48973.0,359.173,212
scqbf_200_3,DEFAULT,13,49965.3,False,356,601.2538034915924,46579.0,527.061,311
scqbf_200_3,DEFAULT,14,49965.3,False,353,601.2128446102142,49375.0,565.608,331
scqbf_200_3,DEFAULT,15,49965.3,False,354,600.4171328544617,48318.0,363.688,213
scqbf_200_3,DEFAULT,16,49965.3,False,357,601.6510071754456,47548.0,450.391,266
scqbf_200_3,DEFAULT,17,49965.3,False,356,600.8859043121338,49462.0,551.942,326
scqbf_200_3,DEFAULT,18,49965.3,False,357,600.5970644950867,49155.0,380.65,225
scqbf_200_3,DEFAULT,19,49965.3,False,356,600.9862926006317,48753.0,265.865,156
scqbf_200_3,DEFAULT,20,49965.3,False,356,601.5629999637604,46663.0,172.063,100
scqbf_200_3,DEFAULT,21,49965.3,False,356,601.6150205135345,48374.0,601.603,355
scqbf_200_3,DEFAULT,22,49965.3,False,356,600.5390853881836,48780.0,479.679,283
scqbf_200_3,DEFAULT,23,49965.3,False,273,601.2253189086914,47851.0,368.003,197
scqbf_200_3,DEFAULT,24,49965.3,False,194,603.0662639141083,44761.0,389.508,124
scqbf_200_3,DEFAULT,25,49965.3,False,194,600.0437521934509,45427.0,596.937,192
scqbf_200_3,DEFAULT,26,49965.3,False,194,601.88662981987,47995.0,540.112,173
scqbf_200_3,DEFAULT,27,49965.3,False,190,600.3555729389191,47160.0,333.143,104
scqbf_200_3,DEFAULT,28,49965.3,False,191,601.5403022766113,46226.0,337.742,106
scqbf_200_3,DEFAULT,29,49965.3,False,192,600.2184298038483,45515.0,581.385,185
scqbf_200_3,DEFAULT,30,49965.3,False,191,602.251946926117,47787.0,521.158,164
scqbf_200_3,DEFAULT,31,49965.3,False,192,602.5835452079773,45085.0,580.727,184
scqbf_200_3,DEFAULT,32,49965.3,False,258,601.6368494033813,49119.0,541.406,221
scqbf_200_3,DEFAULT,33,49965.3,False,358,600.5797529220581,47393.0,521.942,310
scqbf_200_3,DEFAULT,34,49965.3,False,358,600.839777469635,47587.0,470.405,279
scqbf_200_3,DEFAULT,35,49965.3,False,357,600.7889363765717,47880.0,548.631,325
scqbf_200_3,DEFAULT,36,49965.3,False,358,601.0454573631287,47426.0,281.187,166
scqbf_200_3,DEFAULT,37,49965.3,False,358,600.0508282184601,48671.0,494.739,294
scqbf_200_3,DEFAULT,38,49965.3,False,358,600.4580945968628,47571.0,205.798,121
scqbf_200_3,DEFAULT,39,49965.3,False,358,600.3928339481354,48064.0,336.202,199
scqbf_200_3,DEFAULT,40,49965.3,False,356,601.5448353290558,47392.0,436.298,257
scqbf_200_3,DEFAULT,41,49965.3,False,357,600.2465510368347,49007.0,472.964,280
scqbf_200_3,DEFAULT,42,49965.3,False,358,601.6397075653076,49162.0,576.458,342
scqbf_200_3,DEFAULT,43,49965.3,False,359,600.5132732391357,49415.0,461.901,275
scqbf_200_3,DEFAULT,44,49965.3,False,359,600.2364552021027,48174.0,500.051,298
scqbf_200_3,DEFAULT,45,49965.3,False,359,600.149261713028,48413.0,293.401,174
scqbf_200_3,DEFAULT,46,49965.3,False,359,600.6534879207611,48578.0,416.983,248
scqbf_200_3,DEFAULT,47,49965.3,False,359,600.5054183006287,48390.0,196.724,116
scqbf_200_3,DEFAULT,48,49965.3,False,359,600.0576598644257,47522.0,233.43,138
scqbf_200_3,DEFAULT,49,49965.3,False,359,601.111485004425,47320.0,465.884,277
