instance,config,seed,target,target_hit,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_400_1,GRASP_RANDOM_GREEDY,0,98896.7,True,1,94.46591472625732,139590.0,94.42537951469421,1
scqbf_400_1,GRASP_RANDOM_GREEDY,1,98896.7,True,1,57.65778207778931,138812.0,57.61671733856201,1
scqbf_400_1,GRASP_RANDOM_GREEDY,2,98896.7,True,1,77.86421608924866,140574.0,77.8238275051117,1
scqbf_400_1,GRASP_RANDOM_GREEDY,3,98896.7,True,1,56.70379829406738,139538.0,56.6653368473053,1
scqbf_400_1,GRASP_RANDOM_GREEDY,4,98896.7,True,1,97.46174907684326,140690.0,97.42313957214355,1
scqbf_400_1,GRASP_RANDOM_GREEDY,5,98896.7,True,1,58.586140632629395,141264.0,58.54652786254883,1
scqbf_400_1,GRASP_RANDOM_GREEDY,6,98896.7,True,1,59.234408140182495,139761.0,59.195842027664185,1
scqbf_400_1,GRASP_RANDOM_GREEDY,7,98896.7,True,1,78.21977353096008,139288.0,78.18168115615845,1
scqbf_400_1,GRASP_RANDOM_GREEDY,8,98896.7,True,1,60.489543437957764,140960.0,60.4500629901886,1
scqbf_400_1,GRASP_RANDOM_GREEDY,9,98896.7,True,1,54.29909014701843,138224.0,54.25915336608887,1
scqbf_400_1,GRASP_RANDOM_GREEDY,10,98896.7,True,1,90.76549434661865,140411.0,90.7278254032135,1
scqbf_400_1,GRASP_RANDOM_GREEDY,11,98896.7,True,1,59.16624093055725,139651.0,59.12811207771301,1
scqbf_400_1,GRASP_RANDOM_GREEDY,12,98896.7,True,1,62.47735905647278,139944.0,62.43739652633667,1
scqbf_400_1,GRASP_RANDOM_GREEDY,13,98896.7,True,1,92.2982759475708,141281.0,92.26016426086426,1
scqbf_400_1,GRASP_RANDOM_GREEDY,14,98896.7,True,1,53.06376671791077,139649.0,53.02632474899292,1
scqbf_400_1,GRASP_RANDOM_GREEDY,15,98896.7,True,1,56.74299454689026,139997.0,56.704623222351074,1
scqbf_400_1,GRASP_RANDOM_GREEDY,16,98896.7,True,1,57.46761679649353,138641.0,57.43004131317139,1
scqbf_400_1,GRASP_RANDOM_GREEDY,17,98896.7,True,1,58.86006569862366,140469.0,58.82219624519348,1
scqbf_400_1,GRASP_RANDOM_GREEDY,18,98896.7,True,1,56.01217818260193,139624.0,55.97455334663391,1
scqbf_400_1,GRASP_RANDOM_GREEDY,19,98896.7,True,1,78.48811388015747,139024.0,78.45100545883179,1
scqbf_400_1,GRASP_RANDOM_GREEDY,20,98896.7,True,1,84.38478255271912,139116.0,84.34767985343933,1
scqbf_400_1,GRASP_RANDOM_GREEDY,21,98896.7,True,1,55.871028423309326,140371.0,55.834235429763794,1
scqbf_400_1,GRASP_RANDOM_GREEDY,22,98896.7,True,1,66.5978455543518,139817.0,66.56050372123718,1
scqbf_400_1,GRASP_RANDOM_GREEDY,23,98896.7,True,1,75.23288178443909,139750.0,75.19562125205994,1
scqbf_400_1,GRASP_RANDOM_GREEDY,24,98896.7,True,1,96.7373263835907,140671.0,96.69827461242676,1
scqbf_400_1,GRASP_RANDOM_GREEDY,25,98896.7,True,1,53.189645528793335,139430.0,53.15269589424133,1
scqbf_400_1,GRASP_RANDOM_GREEDY,26,98896.7,True,1,55.9896080493927,139740.0,55.95260715484619,1
scqbf_400_1,GRASP_RANDOM_GREEDY,27,98896.7,True,1,106.51479911804199,140014.0,106.47787880897522,1
scqbf_400_1,GRASP_RANDOM_GREEDY,28,98896.7,True,1,60.30077886581421,140491.0,60.26246976852417,1
scqbf_400_1,GRASP_RANDOM_GREEDY,29,98896.7,True,1,56.47662425041199,140393.0,56.439765214920044,1
scqbf_400_1,GRASP_RANDOM_GREEDY,30,98896.7,True,1,93.79705047607422,140603.0,93.75916314125061,1
scqbf_400_1,GRASP_RANDOM_GREEDY,31,98896.7,True,1,52.486754179000854,139524.0,52.449963331222534,1
scqbf_400_1,GRASP_RANDOM_GREEDY,32,98896.7,True,1,54.14364218711853,138863.0,54.10682415962219,1
scqbf_400_1,GRASP_RANDOM_GREEDY,33,98896.7,True,1,75.13244771957397,139371.0,75.09498119354248,1
scqbf_400_1,GRASP_RANDOM_GREEDY,34,98896.7,True,1,42.02139925956726,140891.0,41.99858045578003,1
scqbf_400_1,GRASP_RANDOM_GREEDY,35,98896.7,True,1,37.31122326850891,139996.0,37.28816771507263,1
scqbf_400_1,GRASP_RANDOM_GREEDY,36,98896.7,True,1,49.511762380599976,140947.0,49.487595558166504,1
scqbf_400_1,GRASP_RANDOM_GREEDY,37,98896.7,True,1,39.048704624176025,140960.0,39.02605867385864,1
scqbf_400_1,GRASP_RANDOM_GREEDY,38,98896.7,True,1,37.259865522384644,138644.0,37.23681974411011,1
scqbf_400_1,GRASP_RANDOM_GREEDY,39,98896.7,True,1,39.650140047073364,140830.0,39.62714767456055,1
scqbf_400_1,GRASP_RANDOM_GREEDY,40,98896.7,True,1,41.13873791694641,140753.0,41.11603498458862,1
scqbf_400_1,GRASP_RANDOM_GREEDY,41,98896.7,True,1,37.853294134140015,139223.0,37.830641984939575,1
scqbf_400_1,GRASP_RANDOM_GREEDY,42,98896.7,True,1,45.095741987228394,140922.0,45.07285690307617,1
scqbf_400_1,GRASP_RANDOM_GREEDY,43,98896.7,True,1,59.97607398033142,140263.0,59.9531614780426,1
scqbf_400_1,GRASP_RANDOM_GREEDY,44,98896.7,True,1,39.79603719711304,140960.0,39.77333426475525,1
scqbf_400_1,GRASP_RANDOM_GREEDY,45,98896.7,True,1,39.0250289440155,139719.0,39.00145435333252,1
scqbf_400_1,GRASP_RANDOM_GREEDY,46,98896.7,True,1,36.36566114425659,139532.0,36.342766761779785,1
scqbf_400_1,GRASP_RANDOM_GREEDY,47,98896.7,True,1,39.870349407196045,140254.0,39.84720206260681,1
scqbf_400_1,GRASP_RANDOM_GREEDY,48,98896.7,True,1,46.26884889602661,139153.0,46.24510860443115,1
scqbf_400_1,GRASP_RANDOM_GREEDY,49,98896.7,True,1,40.643272399902344,140396.0,40.62041473388672,1
