instance,config,seed,target,target_hit,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_100_1,DEFAULT,0,16498.35,True,252,192.71305394172668,16537.0,192.707,251
scqbf_100_1,DEFAULT,1,16498.35,True,112,81.57912230491638,16521.0,81.573,111
scqbf_100_1,DEFAULT,2,16498.35,True,426,306.83731389045715,16504.0,306.832,425
scqbf_100_1,DEFAULT,3,16498.35,True,184,136.48871541023254,16560.0,136.483,183
scqbf_100_1,DEFAULT,4,16498.35,True,167,126.26438522338867,16515.0,126.259,166
scqbf_100_1,DEFAULT,5,16498.35,False,827,600.5313184261322,16409.0,449.979,616
scqbf_100_1,DEFAULT,6,16498.35,True,149,111.75306868553162,16508.0,111.747,148
scqbf_100_1,DEFAULT,7,16498.35,True,192,141.5556619167328,16508.0,141.55,191
scqbf_100_1,DEFAULT,8,16498.35,True,37,28.13093376159668,16504.0,28.125,36
scqbf_100_1,DEFAULT,9,16498.35,True,182,133.98992490768433,16508.0,133.984,181
scqbf_100_1,DEFAULT,10,16498.35,True,739,547.8479011058807,16507.0,547.842,738
scqbf_100_1,DEFAULT,11,16498.35,True,263,198.30559968948364,16508.0,198.3,262
scqbf_100_1,DEFAULT,12,16498.35,True,327,240.94744658470154,16529.0,240.942,326
scqbf_100_1,DEFAULT,13,16498.35,True,283,209.26973462104797,16584.0,209.264,282
scqbf_100_1,DEFAULT,14,16498.35,True,327,249.98386693000793,16504.0,249.978,326
scqbf_100_1,DEFAULT,15,16498.35,True,117,89.22049760818481,16522.0,89.215,116
scqbf_100_1,DEFAULT,16,16498.35,True,297,224.5578441619873,16572.0,224.552,296
scqbf_100_1,DEFAULT,17,16498.35,True,122,89.63381910324097,16585.0,89.628,121
scqbf_100_1,DEFAULT,18,16498.35,True,139,104.88415360450745,16504.0,104.878,138
scqbf_100_1,DEFAULT,19,16498.35,True,209,155.002671957016,16508.0,154.997,208
scqbf_100_1,DEFAULT,20,16498.35,True,208,152.54846334457397,16504.0,152.543,207
scqbf_100_1,DEFAULT,21,16498.35,True,140,104.5842227935791,16665.0,104.579,139
scqbf_100_1,DEFAULT,22,16498.35,False,815,600.4436225891113,16461.0,177.38,239
scqbf_100_1,DEFAULT,23,16498.35,True,400,301.49028515815735,16591.0,301.484,399
scqbf_100_1,DEFAULT,24,16498.35,True,87,66.80409336090088,16665.0,66.798,86
scqbf_100_1,DEFAULT,25,16498.35,True,254,191.4829957485199,16508.0,191.477,253
scqbf_100_1,DEFAULT,26,16498.35,True,103,79.0166883468628,16507.0,79.01,102
scqbf_100_1,DEFAULT,27,16498.35,True,659,492.6329131126404,16560.0,492.627,658
scqbf_100_1,DEFAULT,28,16498.35,True,217,164.2875509262085,16585.0,164.282,216
scqbf_100_1,DEFAULT,29,16498.35,True,480,359.42189931869507,16504.0,359.417,479
scqbf_100_1,DEFAULT,30,16498.35,True,173,130.13206577301025,16508.0,130.127,172
scqbf_100_1,DEFAULT,31,16498.35,True,315,230.18595123291016,16508.0,230.18,314
scqbf_100_1,DEFAULT,32,16498.35,True,82,61.229331254959106,16580.0,61.223,81
scqbf_100_1,DEFAULT,33,16498.35,True,114,83.52776718139648,16507.0,83.522,113
scqbf_100_1,DEFAULT,34,16498.35,True,244,179.75834202766418,16508.0,179.753,243
scqbf_100_1,DEFAULT,35,16498.35,True,355,262.208771944046,16504.0,262.203,354
scqbf_100_1,DEFAULT,36,16498.35,False,807,600.3764448165894,16467.0,554.14,744
scqbf_100_1,DEFAULT,37,16498.35,True,90,67.30376052856445,16538.0,67.298,89
scqbf_100_1,DEFAULT,38,16498.35,True,321,241.08060026168823,16585.0,241.075,320
scqbf_100_1,DEFAULT,39,16498.35,False,796,600.1676621437073,16467.0,85.992,113
scqbf_100_1,DEFAULT,40,16498.35,True,253,189.88654923439026,16504.0,189.881,252
scqbf_100_1,DEFAULT,41,16498.35,True,278,208.67011618614197,16521.0,208.664,277
scqbf_100_1,DEFAULT,42,16498.35,True,239,181.50620698928833,16504.0,181.5,238
scqbf_100_1,DEFAULT,43,16498.35,True,225,172.77359819412231,16525.0,172.768,224
scqbf_100_1,DEFAULT,44,16498.35,True,389,352.868768453598,16507.0,352.862,388
scqbf_100_1,DEFAULT,45,16498.35,True,182,191.250492811203,16538.0,191.237,181
scqbf_100_1,DEFAULT,46,16498.35,True,392,421.71582889556885,16538.0,421.708,391
scqbf_100_1,DEFAULT,47,16498.35,True,193,180.57327342033386,16560.0,180.566,192
scqbf_100_1,DEFAULT,48,16498.35,True,591,479.23332047462463,16665.0,479.225,590
scqbf_100_1,DEFAULT,49,16498.35,True,571,454.03971767425537,16504.0,454.034,570
