instance,config,seed,target,target_hit,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_400_3,DEFAULT,0,138615.84,False,48,605.569267988205,83545.0,457.279,35
scqbf_400_3,DEFAULT,1,138615.84,False,48,600.8722312450409,89147.0,600.777,47
scqbf_400_3,DEFAULT,2,138615.84,False,48,608.3438544273376,84631.0,508.548,39
scqbf_400_3,DEFAULT,3,138615.84,False,49,606.945591211319,73298.0,582.417,46
scqbf_400_3,DEFAULT,4,138615.84,False,48,607.2628355026245,86848.0,607.161,47
scqbf_400_3,DEFAULT,5,138615.84,False,49,609.0290915966034,80067.0,548.028,43
scqbf_400_3,DEFAULT,6,138615.84,False,48,600.9696288108826,78304.0,600.876,47
scqbf_400_3,DEFAULT,7,138615.84,False,48,601.43572473526,76116.0,527.268,41
scqbf_400_3,DEFAULT,8,138615.84,False,49,608.6907033920288,87528.0,608.601,48
scqbf_400_3,DEFAULT,9,138615.84,False,49,608.672248840332,89152.0,608.582,48
scqbf_400_3,DEFAULT,10,138615.84,False,48,601.8621060848236,75592.0,589.389,46
scqbf_400_3,DEFAULT,11,138615.84,False,49,609.7057316303253,72455.0,597.41,47
scqbf_400_3,DEFAULT,12,138615.84,False,49,610.9625897407532,83066.0,586.349,46
scqbf_400_3,DEFAULT,13,138615.84,False,49,609.2597465515137,95602.0,584.635,46
scqbf_400_3,DEFAULT,14,138615.84,False,69,604.94065117836,79207.0,598.203,67
scqbf_400_3,DEFAULT,15,138615.84,False,90,603.0632863044739,91823.0,330.999,48
scqbf_400_3,DEFAULT,16,138615.84,False,90,605.0251708030701,108124.0,565.103,83
scqbf_400_3,DEFAULT,17,138615.84,False,90,603.4859552383423,98874.0,603.438,89
scqbf_400_3,DEFAULT,18,138615.84,False,90,604.9888441562653,111701.0,418.303,61
scqbf_400_3,DEFAULT,19,138615.84,False,90,603.8296976089478,96521.0,470.413,69
scqbf_400_3,DEFAULT,20,138615.84,False,90,605.2468283176422,93582.0,585.24,86
scqbf_400_3,DEFAULT,21,138615.84,False,89,602.1516950130463,97480.0,515.162,75
scqbf_400_3,DEFAULT,22,138615.84,False,90,603.6347987651825,93592.0,590.307,87
scqbf_400_3,DEFAULT,23,138615.84,False,89,600.8167908191681,91140.0,594.079,87
scqbf_400_3,DEFAULT,24,138615.84,False,90,603.494478225708,100386.0,437.509,64
scqbf_400_3,DEFAULT,25,138615.84,False,90,604.1061372756958,95945.0,370.841,54
scqbf_400_3,DEFAULT,26,138615.84,False,90,604.2807765007019,86702.0,590.949,87
scqbf_400_3,DEFAULT,27,138615.84,False,90,604.7523627281189,107060.0,598.044,88
scqbf_400_3,DEFAULT,28,138615.84,False,90,604.1841728687286,107436.0,524.423,77
scqbf_400_3,DEFAULT,29,138615.84,False,90,603.3180675506592,84752.0,589.995,87
scqbf_400_3,DEFAULT,30,138615.84,False,90,606.0505294799805,88288.0,606.003,89
scqbf_400_3,DEFAULT,31,138615.84,False,88,601.7431049346924,84566.0,344.278,49
scqbf_400_3,DEFAULT,32,138615.84,False,90,604.3171491622925,90252.0,564.242,83
scqbf_400_3,DEFAULT,33,138615.84,False,90,603.4326205253601,107852.0,576.835,85
scqbf_400_3,DEFAULT,34,138615.84,False,90,602.0467185974121,88646.0,601.996,89
scqbf_400_3,DEFAULT,35,138615.84,False,90,602.819561958313,103564.0,350.584,51
scqbf_400_3,DEFAULT,36,138615.84,False,90,604.1996138095856,95235.0,431.17,63
scqbf_400_3,DEFAULT,37,138615.84,False,90,606.3514308929443,90660.0,519.483,76
scqbf_400_3,DEFAULT,38,138615.84,False,90,603.0632367134094,100626.0,563.067,83
scqbf_400_3,DEFAULT,39,138615.84,False,90,604.226156949997,86286.0,524.47,77
scqbf_400_3,DEFAULT,40,138615.84,False,90,604.768390417099,91172.0,604.715,89
scqbf_400_3,DEFAULT,41,138615.84,False,90,605.0188143253326,106880.0,598.274,88
scqbf_400_3,DEFAULT,42,138615.84,False,90,606.2333450317383,106569.0,539.502,79
scqbf_400_3,DEFAULT,43,138615.84,False,90,604.9157202243805,86450.0,311.909,45
scqbf_400_3,DEFAULT,44,138615.84,False,90,606.5755999088287,84585.0,352.838,51
scqbf_400_3,DEFAULT,45,138615.84,False,90,602.1915283203125,98554.0,476.249,70
scqbf_400_3,DEFAULT,46,138615.84,False,90,602.6127648353577,93608.0,542.83,80
scqbf_400_3,DEFAULT,47,138615.84,False,90,601.0543351173401,95211.0,435.637,64
scqbf_400_3,DEFAULT,48,138615.84,False,90,605.477105140686,95129.0,445.419,65
scqbf_400_3,DEFAULT,49,138615.84,False,90,601.1765823364258,84484.0,601.124,89
