instance,config,seed,target,target_hit,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_400_1,DEFAULT,0,98896.7,False,52,601.0294580459595,95288.0,422.468,35
scqbf_400_1,DEFAULT,1,98896.7,False,52,603.2084219455719,91001.0,569.177,48
scqbf_400_1,DEFAULT,2,98896.7,False,53,606.2877099514008,87049.0,606.198,52
scqbf_400_1,DEFAULT,3,98896.7,False,52,601.75408244133,81430.0,578.863,49
scqbf_400_1,DEFAULT,4,98896.7,False,52,603.4030730724335,90074.0,569.143,48
scqbf_400_1,DEFAULT,5,98896.7,False,51,608.355872631073,83223.0,526.459,43
scqbf_400_1,DEFAULT,6,98896.7,False,52,601.4222650527954,79034.0,578.34,49
scqbf_400_1,DEFAULT,7,98896.7,False,52,603.2936384677887,79712.0,489.032,41
scqbf_400_1,DEFAULT,8,98896.7,True,50,591.8127331733704,99727.0,591.727,49
scqbf_400_1,DEFAULT,9,98896.7,False,51,600.189108133316,96899.0,600.103,50
scqbf_400_1,DEFAULT,10,98896.7,False,51,600.1578617095947,77241.0,553.847,46
scqbf_400_1,DEFAULT,11,98896.7,False,53,605.664422750473,80644.0,605.575,52
scqbf_400_1,DEFAULT,12,98896.7,False,52,603.670244216919,89554.0,580.631,49
scqbf_400_1,DEFAULT,13,98896.7,False,51,602.1574132442474,93688.0,555.406,46
scqbf_400_1,DEFAULT,14,98896.7,False,51,605.3511328697205,84006.0,581.955,48
scqbf_400_1,DEFAULT,15,98896.7,False,51,603.8804109096527,91258.0,510.119,42
scqbf_400_1,DEFAULT,16,98896.7,False,41,603.4717121124268,90366.0,587.34,39
scqbf_400_1,DEFAULT,17,98896.7,False,40,614.6920754909515,80083.0,584.305,37
scqbf_400_1,DEFAULT,18,98896.7,False,48,601.9516568183899,88646.0,529.244,41
scqbf_400_1,DEFAULT,19,98896.7,False,52,612.370717048645,93396.0,478.588,40
scqbf_400_1,DEFAULT,20,98896.7,False,50,604.7291486263275,92387.0,604.638,49
scqbf_400_1,DEFAULT,21,98896.7,False,51,609.0197072029114,73690.0,562.801,46
scqbf_400_1,DEFAULT,22,98896.7,False,51,604.5547409057617,87636.0,464.76,38
scqbf_400_1,DEFAULT,23,98896.7,False,52,604.104659318924,86963.0,501.831,42
scqbf_400_1,DEFAULT,24,98896.7,False,52,600.9808146953583,93474.0,589.493,50
scqbf_400_1,DEFAULT,25,98896.7,False,52,605.8822693824768,96899.0,605.798,51
scqbf_400_1,DEFAULT,26,98896.7,False,53,609.1986112594604,78901.0,541.19,46
scqbf_400_1,DEFAULT,27,98896.7,False,53,608.5440208911896,78942.0,608.462,52
scqbf_400_1,DEFAULT,28,98896.7,True,49,562.325706243515,100788.0,562.241,48
scqbf_400_1,DEFAULT,29,98896.7,False,53,603.6874160766602,86394.0,536.191,46
scqbf_400_1,DEFAULT,30,98896.7,False,52,607.4520697593689,84377.0,400.158,33
scqbf_400_1,DEFAULT,31,98896.7,False,52,602.9742321968079,91293.0,591.477,50
scqbf_400_1,DEFAULT,32,98896.7,False,52,602.3459937572479,79749.0,488.287,41
scqbf_400_1,DEFAULT,33,98896.7,False,51,608.0353474617004,89660.0,584.687,48
scqbf_400_1,DEFAULT,34,98896.7,False,53,610.2531328201294,87703.0,463.117,39
scqbf_400_1,DEFAULT,35,98896.7,True,48,562.6424362659454,102375.0,562.551,47
scqbf_400_1,DEFAULT,36,98896.7,False,51,605.5404102802277,98051.0,523.372,43
scqbf_400_1,DEFAULT,37,98896.7,False,53,609.8143839836121,87415.0,473.402,40
scqbf_400_1,DEFAULT,38,98896.7,False,51,600.7077250480652,98102.0,554.294,46
scqbf_400_1,DEFAULT,39,98896.7,False,51,601.07253241539,80155.0,519.72,43
scqbf_400_1,DEFAULT,40,98896.7,False,52,611.5701205730438,78065.0,611.483,51
scqbf_400_1,DEFAULT,41,98896.7,False,53,610.3170745372772,96994.0,598.664,51
scqbf_400_1,DEFAULT,42,98896.7,False,52,607.635858297348,94595.0,607.549,51
scqbf_400_1,DEFAULT,43,98896.7,False,86,600.8334212303162,95585.0,365.541,50
scqbf_400_1,DEFAULT,44,98896.7,False,89,605.3288519382477,90410.0,524.393,76
scqbf_400_1,DEFAULT,45,98896.7,False,88,603.4181544780731,98580.0,555.761,80
scqbf_400_1,DEFAULT,46,98896.7,True,85,578.7743852138519,99904.0,578.726,84
scqbf_400_1,DEFAULT,47,98896.7,True,58,396.013569355011,99511.0,395.963,57
scqbf_400_1,DEFAULT,48,98896.7,False,89,606.4473924636841,96092.0,444.427,64
scqbf_400_1,DEFAULT,49,98896.7,False,88,603.2188374996185,86475.0,603.171,87
