instance,config,seed,target,target_hit,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_200_3,DEFAULT,0,45423.0,True,161,513.5262739658356,46174.0,513.501,160
scqbf_200_3,DEFAULT,1,45423.0,True,66,210.34415364265442,45649.0,210.32,65
scqbf_200_3,DEFAULT,2,45423.0,True,114,357.40751695632935,46621.0,357.384,113
scqbf_200_3,DEFAULT,3,45423.0,True,109,344.2425887584686,45512.0,344.219,108
scqbf_200_3,DEFAULT,4,45423.0,True,93,293.9932351112366,45435.0,293.971,92
scqbf_200_3,DEFAULT,5,45423.0,True,117,368.917964220047,45986.0,368.896,116
scqbf_200_3,DEFAULT,6,45423.0,True,66,206.9307291507721,45888.0,206.909,65
scqbf_200_3,DEFAULT,7,45423.0,True,100,315.7928354740143,46171.0,315.77,99
scqbf_200_3,DEFAULT,8,45423.0,True,109,340.5946159362793,45793.0,340.574,108
scqbf_200_3,DEFAULT,9,45423.0,True,75,234.818097114563,46922.0,234.796,74
scqbf_200_3,DEFAULT,10,45423.0,True,137,428.80276441574097,45478.0,428.78,136
scqbf_200_3,DEFAULT,11,45423.0,True,78,247.1331033706665,45883.0,247.11,77
scqbf_200_3,DEFAULT,12,45423.0,True,145,449.78910970687866,46373.0,449.767,144
scqbf_200_3,DEFAULT,13,45423.0,False,193,600.5185489654541,43969.0,537.922,172
scqbf_200_3,DEFAULT,14,45423.0,False,187,602.7175056934357,45162.0,496.753,153
scqbf_200_3,DEFAULT,15,45423.0,True,163,514.7742557525635,46123.0,514.752,162
scqbf_200_3,DEFAULT,16,45423.0,True,147,462.73340797424316,45517.0,462.71,146
scqbf_200_3,DEFAULT,17,45423.0,True,59,186.16073155403137,46336.0,186.138,58
scqbf_200_3,DEFAULT,18,45423.0,True,179,557.2026512622833,45708.0,557.18,178
scqbf_200_3,DEFAULT,19,45423.0,True,90,283.55640840530396,45558.0,283.534,89
scqbf_200_3,DEFAULT,20,45423.0,True,95,298.78022480010986,45463.0,298.758,94
scqbf_200_3,DEFAULT,21,45423.0,True,78,246.21232151985168,45915.0,246.19,77
scqbf_200_3,DEFAULT,22,45423.0,True,73,231.27702927589417,45942.0,231.254,72
scqbf_200_3,DEFAULT,23,45423.0,True,80,252.3130841255188,46812.0,252.291,79
scqbf_200_3,DEFAULT,24,45423.0,False,191,602.2508330345154,44991.0,599.083,189
scqbf_200_3,DEFAULT,25,45423.0,True,148,462.8690083026886,45956.0,462.846,147
scqbf_200_3,DEFAULT,26,45423.0,True,81,255.41398525238037,45556.0,255.391,80
scqbf_200_3,DEFAULT,27,45423.0,True,174,545.4053547382355,45554.0,545.383,173
scqbf_200_3,DEFAULT,28,45423.0,True,100,316.86108684539795,45819.0,316.839,99
scqbf_200_3,DEFAULT,29,45423.0,True,97,303.3307783603668,46186.0,303.308,96
scqbf_200_3,DEFAULT,30,45423.0,True,139,432.0621123313904,46148.0,432.039,138
scqbf_200_3,DEFAULT,31,45423.0,False,190,600.8097894191742,44598.0,584.972,184
scqbf_200_3,DEFAULT,32,45423.0,True,134,420.94812297821045,45957.0,420.926,133
scqbf_200_3,DEFAULT,33,45423.0,False,192,600.2373278141022,43790.0,217.801,68
scqbf_200_3,DEFAULT,34,45423.0,True,190,593.1060650348663,46162.0,593.084,189
scqbf_200_3,DEFAULT,35,45423.0,True,147,458.3039491176605,45481.0,458.282,146
scqbf_200_3,DEFAULT,36,45423.0,True,157,490.0582003593445,45590.0,490.036,156
scqbf_200_3,DEFAULT,37,45423.0,True,151,470.0750951766968,45471.0,470.054,150
scqbf_200_3,DEFAULT,38,45423.0,True,89,276.6337192058563,45910.0,276.612,88
scqbf_200_3,DEFAULT,39,45423.0,True,160,496.43217730522156,45519.0,496.41,159
scqbf_200_3,DEFAULT,40,45423.0,True,118,367.79774022102356,45742.0,367.776,117
scqbf_200_3,DEFAULT,41,45423.0,False,190,601.9416780471802,45254.0,601.919,189
scqbf_200_3,DEFAULT,42,45423.0,True,68,214.75360941886902,45749.0,214.731,67
scqbf_200_3,DEFAULT,43,45423.0,True,89,282.9667854309082,45570.0,282.945,88
scqbf_200_3,DEFAULT,44,45423.0,True,80,252.20514225959778,45701.0,252.182,79
scqbf_200_3,DEFAULT,45,45423.0,True,96,300.7651352882385,45749.0,300.741,95
scqbf_200_3,DEFAULT,46,45423.0,False,189,600.7165248394012,45034.0,493.084,154
scqbf_200_3,DEFAULT,47,45423.0,True,66,207.95154666900635,45465.0,207.929,65
scqbf_200_3,DEFAULT,48,45423.0,True,94,298.75350737571716,45565.0,298.732,93
scqbf_200_3,DEFAULT,49,45423.0,False,192,602.4322566986084,41802.0,187.597,58
